"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"30237470-4";"Claviers braille";"3023747";7;"3|302|3023|30237|302374";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Pièces, accessoires et fournitures pour ordinateurs|Accessoires de saisie de données"
"30237475-9";"Capteurs électriques";"30237475";8;"3|302|3023|30237|302374|3023747";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Pièces, accessoires et fournitures pour ordinateurs|Accessoires de saisie de données|Claviers braille"
"30237480-7";"Unités d'entrée";"3023748";7;"3|302|3023|30237|302374";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Pièces, accessoires et fournitures pour ordinateurs|Accessoires de saisie de données"
"30238000-6";"Matériel d'automatisation de bibliothèque";"30238";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
"31000000-6";"Machines, appareils, équipements et consommables électriques, éclairage";"31";2;"3";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels"
"31100000-7";"Moteurs, générateurs et transformateurs électriques";"311";3;"3|31";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage"
"31110000-0";"Moteurs électriques";"3111";4;"3|31|311";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques"
"31111000-7";"Adaptateurs";"31111";5;"3|31|311|3111";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Moteurs électriques"
"31120000-3";"Générateurs";"3112";4;"3|31|311";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques"
"31121000-0";"Groupes électrogènes";"31121";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31121100-1";"Groupes électrogènes à moteur à allumage par compression";"311211";6;"3|31|311|3112|31121";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes"
"31121110-4";"Convertisseurs";"3112111";7;"3|31|311|3112|31121|311211";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Groupes électrogènes à moteur à allumage par compression"
"31121111-1";"Convertisseurs électriques rotatifs";"31121111";8;"3|31|311|3112|31121|311211|3112111";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Groupes électrogènes à moteur à allumage par compression|Convertisseurs"
