"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"30234100-9";"Disque magnétique";"302341";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234200-0";"Disques optiques";"302342";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234300-1";"Disques compacts (CD)";"302343";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234400-2";"Disques numériques polyvalents (DVD)";"302344";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234500-3";"Supports de stockage à mémoire";"302345";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234600-4";"Mémoire flash";"302346";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30234700-5";"Bandes magnétiques";"302347";6;"3|302|3023|30234";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Supports de mémoire"
"30236000-2";"Matériel informatique divers";"30236";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
"30236100-3";"Matériel d'extension de mémoire";"302361";6;"3|302|3023|30236";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers"
"30236110-6";"Mémoire vive (RAM)";"3023611";7;"3|302|3023|30236|302361";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers|Matériel d'extension de mémoire"
"30236111-3";"Mémoire vive dynamique (DRAM)";"30236111";8;"3|302|3023|30236|302361|3023611";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers|Matériel d'extension de mémoire|Mémoire vive (RAM)"
"30236112-0";"Mémoire vive statique (SRAM)";"30236112";8;"3|302|3023|30236|302361|3023611";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers|Matériel d'extension de mémoire|Mémoire vive (RAM)"
"30236113-7";"Mémoire vive dynamique synchrone (SDRAM)";"30236113";8;"3|302|3023|30236|302361|3023611";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers|Matériel d'extension de mémoire|Mémoire vive (RAM)"
"30236114-4";"Mémoire vive dynamique en bus (RDRAM)";"30236114";8;"3|302|3023|30236|302361|3023611";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Matériel informatique divers|Matériel d'extension de mémoire|Mémoire vive (RAM)"
